NUTS1 Region,LA code,LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Midlands,E07000130,Charnwood,-2.6,0.4,-5.3,2.4,-1.1,1.6,-1.1,0.9,3.2,6.8,-1.3,0.9
East Midlands,E07000131,Harborough,3.8,-2.7,-8.8,8.0,0.2,2.3,-10.2,6.3,5.6,-0.6,6.1,-1.1
East Midlands,E07000132,Hinckley and Bosworth,3.0,1.3,-8.8,7.1,1.7,2.8,4.4,5.0,-1.1,-0.4,5.0,-2.2
East Midlands,E07000133,Melton,3.0,-0.7,-3.1,7.0,-0.9,2.4,-1.2,-1.0,10.4,2.9,-1.8,4.5
East Midlands,E07000134,North West Leicestershire,5.4,-2.4,-7.7,7.1,0.7,3.5,7.6,3.9,2.4,1.2,1.1,7.5
East Midlands,E07000135,Oadby and Wigston,-0.2,0.5,-3.3,3.7,-0.5,3.0,0.5,-5.6,4.3,-1.5,-3.3,2.9
East Midlands,E07000136,Boston,3.0,0.7,-5.1,3.1,5.5,-2.2,8.3,5.5,-0.1,3.1,1.5,-0.9
East Midlands,E07000137,East Lindsey,-0.6,1.5,-5.9,4.3,4.4,-1.6,4.8,-1.7,3.6,-2.2,0.7,-3.3
East Midlands,E07000138,Lincoln,3.4,-17.1,13.2,1.6,-5.9,3.5,0.4,-2.4,1.6,-6.6,-2.6,8.9
East Midlands,E07000139,North Kesteven,1.3,-0.1,-6.1,3.5,3.6,2.8,-0.6,3.8,-0.9,-1.0,9.9,-1.0
East Midlands,E07000140,South Holland,2.0,-1.5,-5.2,4.0,5.0,3.1,3.9,3.1,1.9,5.5,5.6,2.5
East Midlands,E07000141,South Kesteven,4.1,0.9,-6.2,3.4,1.5,3.5,3.5,4.3,-3.4,1.1,4.2,-1.4
East Midlands,E07000142,West Lindsey,1.3,0.6,-6.4,3.6,2.4,2.8,6.6,4.6,0.6,-2.9,1.4,5.0
East Midlands,E07000150,Corby,4.7,1.3,-7.1,6.5,1.1,3.9,2.8,7.6,-0.2,22.7,15.2,-4.0
East Midlands,E07000151,Daventry,4.3,0.5,-10.5,5.0,3.5,1.1,1.5,2.5,0.0,3.0,4.3,7.2
East Midlands,E07000152,East Northamptonshire,2.7,-1.9,-5.9,5.3,2.2,-2.7,3.6,1.1,6.2,2.7,1.1,3.4
East Midlands,E07000153,Kettering,2.7,0.5,-4.9,5.5,2.1,7.0,3.8,3.6,-0.5,3.9,2.5,3.1
East Midlands,E07000154,Northampton,2.6,-1.5,-6.0,2.5,3.7,-1.1,4.0,3.3,3.8,0.0,-0.5,-0.2
East Midlands,E07000155,South Northamptonshire,1.7,-0.6,-5.6,3.7,0.7,3.3,6.5,2.5,0.6,4.9,3.7,0.9
East Midlands,E07000156,Wellingborough,3.2,-0.8,-8.0,7.1,-0.1,3.4,2.1,3.1,0.5,2.3,4.6,-1.2
East Midlands,E07000170,Ashfield,1.2,2.0,-6.6,4.4,4.0,-7.0,11.0,6.1,-2.2,1.9,-1.7,2.6
East Midlands,E07000171,Bassetlaw,0.5,-1.3,-6.6,6.0,5.0,2.2,2.4,-0.3,2.8,1.3,-2.2,2.8
East Midlands,E07000172,Broxtowe,1.6,-4.4,-4.1,10.2,4.4,1.3,0.0,-0.2,5.3,-1.8,5.4,1.0
East Midlands,E07000173,Gedling,4.2,-2.8,-9.4,7.1,2.7,6.7,-0.8,-10.9,4.7,0.5,2.6,-0.7
East Midlands,E07000174,Mansfield,1.3,-1.4,-6.9,3.8,4.2,-1.1,-1.6,2.5,1.8,1.4,0.7,3.2
East Midlands,E07000175,Newark and Sherwood,0.4,0.4,-4.5,6.4,6.1,0.9,-0.8,0.0,4.5,1.3,1.9,2.4
East Midlands,E07000176,Rushcliffe,4.9,0.0,-6.9,-0.5,2.3,0.5,6.2,-0.1,-3.4,5.6,4.4,6.6
West Midlands,E06000019,"Herefordshire, County of",-0.1,0.0,-4.6,1.1,6.5,1.3,0.1,8.6,-3.1,1.6,1.5,-0.7
West Midlands,E06000020,Telford and Wrekin,1.3,0.0,-9.6,4.4,0.6,-6.8,0.8,0.4,-0.1,12.8,9.9,3.2
West Midlands,E06000021,Stoke-on-Trent,1.8,4.1,-5.4,4.6,1.7,0.7,24.7,-0.8,-0.4,6.7,3.3,1.1
West Midlands,E06000051,Shropshire,-1.4,-4.6,-0.5,5.3,1.4,-1.3,-9.6,1.8,1.3,3.4,2.8,-0.6
West Midlands,E07000192,Cannock Chase,0.2,-1.5,-9.6,2.1,3.7,6.4,-1.7,6.4,4.1,-4.0,5.5,4.3
West Midlands,E07000193,East Staffordshire,2.4,0.7,-9.6,5.9,5.6,4.4,-1.6,-2.0,5.2,-3.1,-6.9,-1.7
West Midlands,E07000194,Lichfield,-2.1,0.4,-5.8,6.7,3.1,-14.7,0.7,5.2,6.3,1.5,2.0,-7.4
West Midlands,E07000195,Newcastle-under-Lyme,1.2,0.3,-7.3,4.1,4.7,2.4,-0.1,2.5,3.9,-1.0,-1.2,1.0
West Midlands,E07000196,South Staffordshire,-0.8,-0.9,-6.1,7.8,3.0,-0.7,3.8,-2.1,3.7,5.0,4.3,17.3
West Midlands,E07000197,Stafford,1.0,1.0,-6.1,3.3,4.4,16.0,-3.0,1.9,-6.0,3.9,-1.1,6.3
West Midlands,E07000198,Staffordshire Moorlands,1.0,0.1,-8.8,4.6,1.9,-0.3,3.8,0.7,-5.1,-4.4,4.5,3.0
West Midlands,E07000199,Tamworth,1.2,-2.2,-8.0,4.8,2.4,-1.1,-2.6,5.5,5.7,4.7,3.0,4.4
West Midlands,E07000218,North Warwickshire,-1.9,-0.1,-10.9,5.0,8.2,7.6,3.2,0.0,7.8,-1.3,1.2,14.0
West Midlands,E07000219,Nuneaton and Bedworth,-0.8,0.0,-7.8,3.2,13.7,1.9,10.8,6.2,4.4,-5.2,10.9,-0.4
West Midlands,E07000220,Rugby,0.8,-1.1,-8.4,6.9,8.6,-6.1,-2.2,7.3,0.6,4.0,8.2,-0.1
West Midlands,E07000221,Stratford-on-Avon,1.4,-1.3,-9.6,5.2,9.1,7.2,6.3,-1.0,4.1,1.2,10.5,1.1
West Midlands,E07000222,Warwick,-1.3,-0.2,-3.7,4.7,5.3,-1.5,11.3,6.1,5.5,7.2,5.3,0.4
West Midlands,E07000234,Bromsgrove,-11.7,5.4,1.0,4.7,4.5,5.8,-3.3,-7.6,3.8,-0.5,14.1,-3.1
West Midlands,E07000235,Malvern Hills,-0.3,-2.0,-4.1,4.3,3.5,1.6,0.4,5.1,-1.8,-2.5,4.1,3.3
West Midlands,E07000236,Redditch,2.8,4.4,-11.9,4.4,7.8,2.5,-0.2,9.1,8.4,5.6,-2.2,-0.4
West Midlands,E07000237,Worcester,0.0,-1.8,-5.0,4.1,4.0,5.5,3.0,0.1,7.3,-12.4,4.2,0.3
West Midlands,E07000238,Wychavon,-0.1,1.2,-7.2,2.6,4.4,2.5,4.6,4.5,3.9,-3.4,3.5,2.3
West Midlands,E07000239,Wyre Forest,-0.6,-1.2,-5.1,1.2,2.3,0.6,2.0,1.3,4.1,0.6,-4.9,6.5
West Midlands,E08000025,Birmingham,2.1,-1.6,-6.3,2.8,2.6,-0.6,5.5,2.7,2.4,3.2,0.6,4.0
West Midlands,E08000026,Coventry,1.2,-1.0,-4.6,5.2,4.8,6.0,1.1,6.7,6.0,3.1,-5.0,0.7
West Midlands,E08000027,Dudley,0.2,-3.2,-6.9,5.2,4.1,-0.5,-2.1,0.8,1.3,1.6,3.9,3.8
West Midlands,E08000028,Sandwell,-2.2,-4.1,-6.1,6.3,0.4,-2.6,1.6,8.2,3.5,2.4,1.6,5.3
West Midlands,E08000029,Solihull,1.4,-4.6,-10.5,10.9,6.7,2.4,-1.6,1.7,11.5,11.0,5.2,5.4
West Midlands,E08000030,Walsall,2.2,1.2,-7.2,1.0,7.5,-3.1,-2.7,5.7,0.9,-2.5,6.2,-8.9
West Midlands,E08000031,Wolverhampton,-0.4,-3.3,-5.1,5.0,3.6,2.5,-1.9,-5.3,-6.5,1.8,2.2,1.0
East of England,E06000031,Peterborough,-0.7,-1.1,-10.7,4.1,3.8,2.3,-9.7,6.8,-1.7,5.4,7.5,8.9
East of England,E06000032,Luton,5.2,-0.3,-7.4,1.0,1.6,-3.9,9.0,9.5,2.9,4.3,-0.9,4.2
East of England,E06000033,Southend-on-Sea,2.1,-2.1,-1.8,2.0,1.7,-0.4,1.0,2.8,1.2,-2.6,3.0,1.3
East of England,E06000034,Thurrock,-6.9,-3.8,-4.0,5.6,3.6,-20.3,-25.5,5.2,6.9,8.8,11.1,-6.4
East of England,E06000055,Bedford,-0.1,-0.3,-5.9,1.8,0.3,0.6,1.9,5.5,0.8,37.4,-13.6,6.6
East of England,E06000056,Central Bedfordshire,0.7,0.0,-5.0,3.4,2.4,2.5,1.7,7.9,-1.3,5.5,8.3,3.1
East of England,E07000008,Cambridge,1.6,0.6,-1.6,1.5,2.7,9.8,4.0,0.9,6.3,-3.4,-0.3,5.2
East of England,E07000009,East Cambridgeshire,-2.0,0.8,-4.2,3.7,6.0,-2.2,2.3,4.6,5.8,-0.8,5.0,-0.9
East of England,E07000010,Fenland,-0.6,-1.0,-2.7,5.9,5.5,1.4,2.4,8.6,-3.7,-0.5,3.1,1.2
East of England,E07000011,Huntingdonshire,0.8,-1.7,-4.1,5.2,2.4,-0.7,0.3,3.8,2.1,5.1,0.9,1.9
East of England,E07000012,South Cambridgeshire,1.5,-1.1,-2.4,5.1,1.5,3.4,-2.1,6.3,1.6,7.0,7.4,3.4
