LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Staffordshire,"3,605","3,724","3,448","3,690","3,872","4,136","4,237","4,200","4,521","4,439","4,178","4,188"
Lichfield,"2,131","2,223","2,142","2,294","2,391","2,089","2,162","2,309","2,492","2,574","2,668","2,521"
Newcastle-under-Lyme,"1,824","1,902","1,816","1,907","1,989","2,071","2,102","2,189","2,303","2,332","2,352","2,418"
South Staffordshire,"1,427","1,474","1,385","1,472","1,529","1,558","1,643","1,626","1,720","1,839","1,947","2,317"
Stafford,"2,385","2,487","2,385","2,495","2,620","3,081","3,044","3,152","3,037","3,219","3,248","3,491"
Staffordshire Moorlands,"1,371","1,402","1,305","1,384","1,420","1,457","1,593","1,612","1,571","1,539","1,632","1,709"
Tamworth,"1,304","1,310","1,242","1,307","1,336","1,341","1,337","1,414","1,511","1,613","1,681","1,791"
North Warwickshire,"1,855","1,883","1,814","1,922","2,037","2,249","2,397","2,416","2,653","2,656","2,731","3,160"
Nuneaton and Bedworth,"1,473","1,530","1,430","1,486","1,704","1,761","1,977","2,127","2,255","2,174","2,453","2,495"
Rugby,"2,457","2,519","2,335","2,460","2,690","2,616","2,589","2,818","2,875","3,030","3,314","3,371"
Stratford-on-Avon,"3,179","3,242","2,994","3,195","3,457","3,787","4,155","4,220","4,372","4,527","5,089","5,212"
Warwick,"4,011","4,143","4,115","4,264","4,480","4,509","5,071","5,518","5,887","6,314","6,696","6,941"
Bromsgrove,"1,971","2,099","2,159","2,182","2,342","2,675","2,706","2,688","2,595","2,741","3,171","3,132"
Malvern Hills,"1,304","1,355","1,298","1,371","1,435","1,467","1,456","1,552","1,547","1,546","1,636","1,712"
Redditch,"1,590","1,724","1,553","1,628","1,761","1,824","1,860","2,071","2,263","2,451","2,451","2,480"
Worcester,"2,253","2,312","2,257","2,337","2,441","2,683","2,878","2,943","3,211","2,833","3,018","3,083"
Wychavon,"2,063","2,167","2,036","2,085","2,202","2,316","2,459","2,596","2,744","2,709","2,849","2,959"
Wyre Forest,"1,322","1,347","1,281","1,304","1,343","1,395","1,437","1,488","1,574","1,619","1,565","1,693"
Birmingham,"22,513","22,806","22,196","22,884","23,596","23,830","25,785","27,072","27,694","29,346","30,114","31,920"
Coventry,"6,918","7,024","6,953","7,320","7,707","8,286","8,554","9,312","10,002","10,487","10,177","10,445"
Dudley,"4,981","5,014","4,731","4,898","5,145","5,266","5,241","5,381","5,564","5,749","6,118","6,449"
Sandwell,"4,895","4,926","4,879","5,013","4,966","5,013","5,218","5,768","6,084","6,331","6,571","7,083"
Solihull,"6,070","6,010","5,560","6,186","6,487","6,745","7,013","7,349","8,170","9,270","9,895","10,601"
Walsall,"4,653","4,925","4,666","4,785","5,134","5,046","4,943","5,341","5,470","5,461","5,938","5,501"
Wolverhampton,"4,719","4,728","4,596","4,831","5,079","5,302","5,349","5,120","4,876","5,067","5,298","5,453"
Peterborough,"5,271","5,180","4,787","5,006","5,233","5,505","5,169","5,593","5,598","5,973","6,535","7,240"
Luton,"5,094","5,341","5,089","5,241","5,263","5,105","5,672","6,369","6,695","7,090","7,104","7,524"
Southend-on-Sea,"2,699","2,744","2,717","2,797","2,884","2,908","2,959","3,102","3,198","3,182","3,362","3,449"
Thurrock,"4,967","5,011","4,941","5,262","5,384","4,440","3,375","3,645","3,950","4,394","4,975","4,749"
Bedford,"3,563","3,729","3,605","3,655","3,681","3,779","3,893","4,197","4,310","6,015","5,326","5,811"
Central Bedfordshire,"4,764","4,916","4,703","4,831","5,045","5,267","5,416","5,895","5,925","6,350","6,969","7,319"
Cambridge,"4,257","4,399","4,495","4,596","4,762","5,252","5,490","5,659","6,132","5,991","6,071","6,483"
East Cambridgeshire,"1,441","1,512","1,512","1,554","1,634","1,664","1,738","1,810","1,925","1,978","2,109","2,123"
Fenland,"1,453","1,485","1,497","1,570","1,632","1,725","1,808","1,953","1,911","1,953","2,041","2,096"
Huntingdonshire,"3,484","3,574","3,516","3,723","3,823","3,888","3,951","4,119","4,281","4,609","4,696","4,874"
South Cambridgeshire,"3,835","3,945","3,854","4,069","4,182","4,370","4,292","4,618","4,790","5,191","5,649","5,946"
